NumberOfPositions,ATCOCode
4,300000361FZ
4,300000369FZ
4,300000369FZ2
4,300000371FZ
4,300000379FZ
4,300000380FZ
4,300000382FZ
4,300000385FZ
4,300000394FZ
4,300000405FZ
4,300000413FZ1
4,300000413FZ2
4,300000413FZ3
4,300000420FZ
4,300000425FZ
4,300000427FZ
4,300000447FZ
4,300000448FZ
4,300000450FZ
4,300000451FZ
4,300000453FZ
4,300000454FZ
4,300000455FZ
4,300000456FZ
4,300000458FZ
4,300000487FZ
4,300000488FZ
4,300000492FZ
4,300000498FZ
4,300000501FZ
4,300000506FZ
4,300000511FZ
4,300000512FZ
4,300000513FZ
4,300000514FZ
4,300000515FZ
4,300000516FZ
4,300000517FZ
4,300000518FZ
4,300000519FZ
4,300000522FZ
4,300000528FZ
4,300000530FZ
4,300000534FZ
4,300000536FZ
4,300000537FZ
4,300000546FZ
4,300000547FZ
4,300000607FZ
4,300000608FZ
4,300000609FZ
4,300000611FZ
4,300000614FZ
4,300000614FZ1
4,300000614FZ2
4,300000615FZ
4,300000624FZ
4,300000632FZ
4,300000633FZ
4,300000634FZ
4,300000635FZ
4,300000636FZ
4,300000637FZ
4,300000639FZ
4,300000640FZ
4,300000642FZ
4,300000671FZ
4,300000672FZ
4,300000673FZ
4,300000674FZ
4,300000675FZ
4,300000676FZ
4,300000677FZ
4,300000678FZ
4,300000681FZ
4,300000685FZ
4,300000687FZ
4,300000688FZ
4,300000689FZ
4,300000693FZ
4,300000694FZ
4,300000695FZ
4,300000696FZ
4,300000697FZ
4,300000698FZ
4,300000712FZ
4,300000713FZ
4,300000714FZ
4,300000715FZ
4,300000716FZ
4,300000717FZ
4,300000718FZ
4,300000719FZ
4,300000720FZ
4,300000722FZ
4,300000723FZ
4,300000724FZ
4,300000725FZ
4,300000726FZ
4,300000727FZ
4,300000728FZ
4,300000729FZ
4,300000730FZ
4,300000733FZ
4,300000734FZ
4,300000735FZ
4,300000742FZ
4,300000743FZ1
4,300000743FZ2
4,300000744FZ
4,300000745FZ
4,300000746FZ
4,300000748FZ
4,300000749FZ
4,300000763FZ
4,300000764FZ
4,300000770FZ
4,300000782FZ
4,300000784FZ
4,300000787FZ
4,300000788FZ
4,300000789FZ
4,300000790FZ
4,300000791FZ
4,300000818FZ
4,300000855FZ
4,300000862FZ
4,300000863FZ
4,300000864FZ
4,300000865FZ
4,300000876FZ
4,300000881FZ
4,300000899FZ
4,300000899FZ2
4,300000901FZ1
4,300000901FZ2
4,300000947FZ
4,300000948FZ
4,300000954FZ
4,3300BA1109
4,3300BA1205
4,3300BA1206
4,3300BA1207
4,3300BA1208
4,3300BA1209
4,3300BA1210
4,3300NS0995
4,3300NS0997
4,3300NS0998
4,3300NS0999
4,3300NS1000
4,3300NS1001
4,3300NS1002
4,3300NS1003
4,3300NS1008
4,3300NS1009
4,3300BA1120
4,3300BA1121
4,3300BA1122
4,3300BA1123
4,3300BA1124
4,3300BA1125
4,3300BA1127
4,3300BA1128
4,3300BA1129
4,3300BA1130
4,3300BA1131
4,3300NS1056
4,3300RU0944
4,3300RU0946
4,3300RU0947
4,3300RU0948
4,3300RU0954
4,4400MO0679
4,4400MO0680
4,4400MO0683
4,4400MO0684
4,4400MO0685
4,4400MO0687
5,030058880001
5,030058900001
5,030058930001
5,075071357
5,07605865
5,077072853
5,077072861
5,077072862
5,077072863
5,078074101
5,078074102
5,078074109
5,078074110
5,078074112
5,1100FLX00002
5,1500FLX1499
5,1500FLX1500
5,1500FLX1501
5,1500FLX1503
5,1500FLX1507
5,1500FLX1520
5,1500FLX455
5,1500FLX607
5,1500FLX608
5,1600FLX05
5,1600FLX17
5,1600FLX55
5,1600FLX59
5,1600FLX60
5,1600FLX61
5,1600FLX82
5,1600FLX89
5,1600FLX94
5,1600FLX101
5,1600FLX99
5,1600FLX107
5,1600FLX120
5,1900HAFLX003
5,1900HAFLX004
5,227000011185
5,26001452F
5,270002700937
5,270002701664
5,270002702041
5,3300NS0996
5,3300NS1012
5,3300RU0945
5,3300RU0949
5,3300RU0953
5,3300RU0958
5,3300NS1101
5,3300NS1103
5,3300BA1219
5,3300BA1221
5,3300BA1222
5,3300BA1224
5,4400MO0682
5,4400MO0686
6,07605866
6,07605867
6,077072852
6,077072854
6,078074106
6,078074108
6,1100FLX00004
6,1100FLX00005
6,1200DOB20661
6,1500FLX1502
6,1500FLX1504
6,1500FLX1505
6,1500FLX452
6,1500FLX456
6,1500FLX457
6,1600FLX06
6,1600FLX13
6,1600FLX14
6,1600FLX21
6,1600FLX103
6,1600FLX105
6,1600FLX108
6,1600FLX115
6,1600FLX117
6,1600FLX118
6,1600FLX123
6,1600FLX127
6,1600FLX128
6,1900HAFLX001
6,1900HAFLX002
6,1900HAFLX005
6,270002700936
6,3300BA1126
6,3300RU0952
6,3300RU0955
6,3300NS1096
6,3300NS1105
6,3300BA1218
6,3300BA1220
6,3300BA1225
6,3600DRT005
6,4400MO0681
7,030058890001
7,075071355
7,077072860
7,078074103
7,078074111
7,1200DOB20658
7,1200DOY38603
7,1200DOB20618
7,1200DOA91276
7,1500FLX1506
7,1600FLX04
7,1600FLX09
7,1600FLX19
7,1600FLX29
7,1600FLX53
7,1600FLX57
7,1600FLX67
7,1600FLX80
7,1600FLX110
7,1600FLX111
7,1600FLX116
7,26000700F
7,3300NS1094
7,3300NS1106
7,3300BA1223
7,3600DRT012
7,3600DRT011
8,078074104
8,078074105
8,1100FLX00001
8,1500FLX1498
8,1600FLX10
8,1600FLX16
8,1600FLX66
8,1600FLX18
8,1600FLX20
8,1600FLX26
8,1600FLX27
8,1600FLX30
8,1600FLX62
8,1600FLX63
8,1600FLX65
8,1600FLX78
8,1600FLX85
8,1600FLX114
8,1600FLX119
8,1900HAA91919
8,270000009655
8,270002700827
8,2700LHBC2442
8,3300NS1011
8,3300RU0951
8,3300RU0956
8,3300RU0957
8,33000NS1095
8,3300NS1097
8,3300NS1098
8,3300NS1099
8,3300NS1107
8,3600DRT00N
8,3600DRT00S
8,3600DRT002
9,030058850001
9,075071356
9,1200DOB20615
9,1500FLX453
9,1500FLX601
9,1600FLX01
9,1600FLX11
9,1600FLX25
9,1600FLX56
9,1600FLX79
9,1600FLX84
9,1600FLX97
9,1900HAA91915
9,1900HAA91943
9,26001442F
9,3300RU0950
9,3300NS1102
9,3300NS1104
9,3600DRT00D
9,3600DRT001
10,077072857
10,1500FLX606
10,1600FLX42
10,1600FLX58
10,1600FLX70
10,1600FLX83
10,1600FLX90
10,1600FLX93
10,1600FLX98
10,1600FLX124
10,1900HAA91941
10,270002700192
10,3300NS1100
10,3600DRT00C
10,3600DRT00I
10,3600DRT013
11,1200DOB20621
11,1500FLX602
11,1500FLX604
11,1500FLX605
11,1600FLX12
11,1600FLX64
11,1600FLX69
11,1600FLX76
11,1600FLX87
11,1600FLX113
11,1600FLX125
11,1600FLX81
11,3300NS1010
11,3600DRT00M
11,3600DRT003
12,1600FLX44
12,1600FLX75
12,1600FLX86
12,1900HAFLX008
12,1900HAA91945
12,3600DRT00T
12,3600DRT006
12,3600DRT032
13,1600FLX71
13,1600FLX102
13,1600FLX122
13,1900HAA91903
13,3600DRT036
13,3600DRT00Z
13,3600DRT028
14,030058860001
14,1600FLX22
14,1600FLX73
14,1600FLX68
14,1600FLX72
14,1600FLX91
14,1600FLX95
14,1600FLX96
14,1600FLX112
14,1900HAFLX007
15,1500FLX454
15,1600FLX28
15,1600FLX32
15,1600FLX77
15,1600FLX88
15,1900HAA91942
15,3600DRT026
15,3600DRT030
16,3600DRT00U
17,1900HAA91907
18,1600FLX92
18,1600FLX100
18,1900HAFLX009
18,3600DRT023
19,030058870001
19,1900HAA91944
19,3600DRT00V
19,3600DRT031
20,1500FLXCLAC
20,1600FLX109
20,1900HAA91908
20,3600DRT033
20,3600DRT034
21,1500FLX603
22,1500FLX600
22,1600FLX126
22,3600DRT00Y
22,3600DRT027
23,1900HAA91904
23,3600DRT007
23,3600DRT018
23,3600DRT019
24,1900HAA91905
24,3600DRT00J
24,3600DRT029
25,3600DRT00E
26,0600MA000072
27,1600FLX74
27,1900HAA91896
27,3600DRT00K
27,3600DRT017
28,1900HAA91902
28,3600DRT024
29,3600DRT00Q
29,3600DRT021
29,3600DRT035
30,1900HAA91906
30,3600DRT00F
30,3600DRT00H
30,3600DRT00O
31,3600DRT00L
31,3600DRT014
32,3600DRT004
36,1900HAA91909
36,3600DRT00B
36,3600DRT00G
37,3600DRT00P
39,1600FLX49
40,3600DRT020
42,3600DRT015
43,1600FLX03
48,3600DRT016
49,3600DRT025
50,1600FLX50
53,1600FLX51
60,3600DR022
63,1600FLX47
82,3600DRT008
85,3600DRT010
91,3600DRT009
