ATCO Code,Stop Type
0500HHILT002,BCT
0500HHILT001,BCT
0500HHOLM002,BCT
0500HHOLM003,BCT
0500HHOLM004,BCT
0500HNTNGDN0,RSE
0500EISLE008,BCT
0500EISLE007,BCT
0500KENNETT0,RSE
0500LTLPORT0,RSE
0500MANEA0,RSE
0500MRCH0,RSE
0500FMARC049,BCT
0500FMARC048,BCT
0500FMARC044,BCT
0500FMARC066,BCT
0500FMARC050,BCT
0500FMARC045,BCT
0500FMARC079,BCT
0500FMARC051,BCT
0500FMARC052,BCT
0500MELDRTH0,RSE
0500HRAMS016,BCT
0500HRAMS015,BCT
0500NVR01,TMU
0500FDODD020,BCT
0500FDODD013,BCT
0500FTYDD010,BCT
0500FTYDD012,BCT
0500ESWAB006,BCT
0500FWHIY900,BCT
0500FWHIY901,BCT
0500SRAMP003,BCT
0500SRAMP004,BCT
0500SHPRTH0,RSE
0500SPHL0,RSE
0500STNEOTS0,RSE
0500HRAMS032,BCT
0500HRAMS025,BCT
0500HSTIL013,BCT
0500FMARC081,BCT
0500FTYDD019,BCT
0500HUPWO012,BCT
0500FWISH045,BCT
0500FWISH046,BCT
0500ZZNVWSF0,TMU
0500HWARB022,BCT
0500HWARB013,BCT
0500HWARB017,BCT
0500HWARB019,BCT
0500HWARB014,BCT
0500HWARB023,BCT
0500HWARB015,BCT
0500HWARB018,BCT
0500HWARB024,BCT
0500HWARB020,BCT
0500HWARB030,BCT
0500WATBECH0,RSE
0500WHTLSEA0,RSE
0500WTLESFD0,RSE
0500FWIMB031,BCT
0500FWIMB019,BCT
0500FWIMB021,BCT
0500FWIMB017,BCT
0500FWIMB023,BCT
0500FWIMB018,BCT
0500FWIMB030,BCT
0500FWISH040,BCT
0500FWISH041,BCT
0500FLEVE001,BCT
0500FLEVE008,BCT
0590DRDD085,BCT
0590DRDD185,BCT
0590HRDD143,BCT
0590PFF1036,BCT
0590605,BCT
0590PFF1037,BCT
0590DRPK141,BCT
0590HRPG023,BCT
0590HRPG024,BCT
0590HRPG123,BCT
0590HRPG124,BCT
0590DRWG088,BCT
0590DRWG189,BCT
0590DRWG089,BCT
0590DRPM081,BCT
0590DRPM082,BCT
0590DRPM182,BCT
0590DRCM081,BCT
0590DRCM181,BCT
0590DRNE124,BCT
0590DRNE078,BCT
0590DRNE178,BCT
0590DRNE080,BCT
0590DRNE180,BCT
0590DRNE079,BCT
0590DRNE179,BCT
0590DRNE123,BCT
0590DRNE131,BCT
0590HRPA029,BCT
0590HRPA028,BCT
0590HRPA026,BCT
0590HRPA125,BCT
0590HRPA025,BCT
0590DRPA116,BCT
0590PC900,BCS
0590BCE01L,BCE
0590BCE02L,BCE
0590BCE03U,BCE
0590BCE04U,BCE
059013325,RSE
0590PBRO1,RSE
0590PTX04,TXR
0590PTX01,TXR
0590PTX02,TXR
0590PTX03,TXR
0590PSS1039,BCT
0590PSS1038,BCT
0590PSS1040,BCT
0590PWA918,BCT
0590PWA917,BCT
0590DRWA105,BCT
0590DRWA108,BCT
0590DRWA107,BCT
0590DRWA103,BCT
0590DRWS201,BCT
0590DRWS187,BCT
0590DRWS087,BCT
0590DRWS086,BCT
0590PHWS101,BCT
0600200410,BCE
0600200411,BCE
0600205811,BCE
0600205911,BCE
0600ADLC0,RSE
0600ADLC1,RSE
0600ADLC2,RSE
0600ALDEDGE0,RSE
0600ALDEDGE1,RSE
0600ALDEDGE2,RSE
0600ALSAGER0,RSE
0600ALSAGER1,RSE
0600ALSAGER2,RSE
0600ASHLEY0,RSE
0600ASHLEY1,RSE
0600ASHLEY2,RSE
0600CHELFD0,RSE
0600CHELFD1,RSE
0600CO002TAX,STR
0600CO003TAX,STR
0600CO048,BCT
0600CO088,BCT
0600CO107,BCT
0600CO218,BCT
0600CO661TAX,STR
0600COBSENT,BCE
0600CONGLTN0,RSE
0600CONGLTN1,RSE
0600CONGLTN2,RSE
0600CR003TAX,STR
0600CR048,BCT
0600CR160A,BCT
0600CR191TAX,TXR
0600CR382,BCT
0600CR491,BCT
0600CR7110,BCT
0600CR991TAX,STR
0600CR992TAX,STR
0600CR993TAX,STR
0600CRBSENT,BCE
0600CRCR719,BCT
0600CREWE0,RSE
0600CREWE1,RSE
0600DISLEY0,RSE
0600DISLEY1,RSE
0600DISLEY2,RSE
0600GOOSTRY0,RSE
0600GOOSTRY1,RSE
0600HCHP0,RSE
0600HNDFRTH0,RSE
0600HNDFRTH1,RSE
0600KNUTSFD0,RSE
0600MA0002,BCT
0600MA0009A,BCT
0600MA001TAX,STR
0600MA0046,BCT
0600MA0096,BCT
0600MA0110,BCT
0600MA0112,BCT
0600MA0113,BCT
0600MA0116,BCT
0600MA0150,BCT
0600MA0159,BCS
0600MA0160,BCS
0600MA0161,BCS
0600MA0162,BCS
0600MA0163,BCS
0600MA0165,BCS
